Month,Business_Line_name,Cost_Center,Cost_Center_Name,Project_Name,Intercompany_Name,FS_Category,Account_Grouping,Account_Name,Analytical_Code_D,Currency,SumOfCurrent Month,SumOfBudget,BudgetVariance,BudgetVariancePercentage,SumOfPrevious Month,VarianceFromPreviousMonth,VarianceFromPreviousMonthPercentage
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1002 - Accrual (C) - Remuneration - Board of Directors,SAR,-35884142.96,-322957286.7,287073143.7,-88.89 %,-460053.1149,-35424089.85,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1004 - Accrual (C) - Remuneration - Board Audit Committee,SAR,-196365.018,-216001.5197,19636.5017,-9.09 %,-130910.012,-65455.006,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1006 - Accrual (C) - Remuneration - Nomination and Remuneration Committee,SAR,-185143.6221,-185143.6221,0,0.00 %,-123429.0814,-61714.5407,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1007 - Accrual (C) - Remuneration - Risk Management & Oversight Committee,SAR,-185141.9434,-1666277.491,1481135.548,-88.89 %,-123427.9623,-61713.9811,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1011 - Accrual (C) - Board Executive Committee -BEC,SAR,-190080.7867,-209088.8653,19008.0786,-9.09 %,-172800.7151,-17280.0716,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Insurance,22225/0000 - Other,SAR,-80663.00539,-80663.00539,0,0.00 %,-92716.09814,12053.09275,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Interest,22222/1061 - Interest accrual - SUKUK,SAR,-25999455.01,-233995095.1,207995640.1,-88.89 %,-17332970.01,-8666485,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Interest,22222/1077 - Interest accrual - SUKUK 2,SAR,-9855935.368,-10841528.9,985593.532,-9.09 %,-6570623.579,-3285311.789,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Interest,22222/2102 - Accrual (C) - LG Commission,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1030 - Accrued expenses - Others,SAR,-1217636.923,-1217636.923,0,0.00 %,-1014697.436,-202939.487,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1042 - Accrual for PDC,SAR,-630598.6831,-5675388.148,5044789.465,-88.89 %,-700665.2035,70066.5204,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1099 - PO Accrual,SAR,-2025018.185,-2227520.004,202501.819,-9.09 %,-2327607.11,302588.925,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1201 - Accrual (C) - Others,SAR,-34560430.68,-34560430.68,0,0.00 %,-443082.4446,-34117348.24,7700.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1202 - Accrual - AMEX Expesnes,SAR,-392663.7612,-3533973.851,3141310.09,-88.89 %,-261775.8408,-130887.9204,50.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1001 - Accrual (C) - Audit Fee,SAR,-1790105.874,-1969116.462,179010.588,-9.09 %,-1491754.895,-298350.979,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1003 - Accrual (C) - Other consultancy services,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1004 - Accrual (C) - Tax consultancy,SAR,-578329.2591,-5204963.332,4626634.073,-88.89 %,-525753.8719,-52575.3872,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1007 - Legal related Consultancy,SAR,-37701.97487,-41472.17235,3770.19748,-9.09 %,-31418.31239,-6283.66248,20.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1008 - Accrual (C) - IT related Consultancy,SAR,-135063.9022,-135063.9022,0,0.00 %,-150071.0024,15007.1002,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1009 - Accrual (C) - HR related consultancy,SAR,-9050.715171,-81456.43654,72405.72137,-88.89 %,-10403.12089,1352.405719,-13.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1011 - Accrual (C) - Annual report related consultancy,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/2003 - Accrual (C)  CSR HIWPT,SAR,-841599.7636,-841599.7636,0,0.00 %,-765090.6942,-76509.0694,10.00 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/3001 - Accrual (C) -  Services Charges,SAR,0,0,0,,0,0,
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/3008 - Accrued Software license fee,SAR,-734755.7504,-808231.3255,73475.5751,-9.09 %,-816395.2783,81639.5279,-10.00 %
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/0000 - Other,SAR,-254545.038,-304988.5183,50443.4803,-16.54 %,-215150.5476,-39394.4904,18.31 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/1001 - Accrual (C) - Bonus,SAR,-6325864.771,109715364.8,-116041229.6,-105.77 %,-6368974.321,43109.55,-0.68 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/1003 - Accrual (C) - Leave Payment,SAR,-11745697.05,-176844377.1,165098680.1,-93.36 %,-7035057.516,-4710639.534,66.96 %
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/1004 - Accrual (C) - Social Insurance,SAR,-70248894.98,-118095881.3,47846986.32,-40.52 %,-596255.8707,-69652639.11,11681.67 %
