Month,Business_Line_name,Cost_Center,Cost_Center_Name,Project_Name,Intercompany_Name,FS_Category,Account_Grouping,Account_Name,Analytical_Code_D,Currency,SumOfCurrent Month
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1002 - Accrual (C) - Remuneration - Board of Directors,SAR,-35884142.96
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1004 - Accrual (C) - Remuneration - Board Audit Committee,SAR,-196365.018
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1006 - Accrual (C) - Remuneration - Nomination and Remuneration Committee,SAR,-185143.6221
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1007 - Accrual (C) - Remuneration - Risk Management & Oversight Committee,SAR,-185141.9434
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Board remuneration,22226/1011 - Accrual (C) - Board Executive Committee -BEC,SAR,-190080.7867
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Insurance,22225/0000 - Other,SAR,-80663.00539
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Interest,22222/1061 - Interest accrual - SUKUK,SAR,-25999455.01
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Interest,22222/1077 - Interest accrual - SUKUK 2,SAR,-9855935.368
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Interest,22222/2102 - Accrual (C) - LG Commission,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1030 - Accrued expenses - Others,SAR,-1217636.923
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1042 - Accrual for PDC,SAR,-630598.6831
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1099 - PO Accrual,SAR,-2025018.185
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1201 - Accrual (C) - Others,SAR,-34560430.68
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Others,22227/1202 - Accrual - AMEX Expesnes,SAR,-392663.7612
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1001 - Accrual (C) - Audit Fee,SAR,-1790105.874
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1003 - Accrual (C) - Other consultancy services,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1004 - Accrual (C) - Tax consultancy,SAR,-578329.2591
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1007 - Legal related Consultancy,SAR,-37701.97487
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1008 - Accrual (C) - IT related Consultancy,SAR,-135063.9022
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1009 - Accrual (C) - HR related consultancy,SAR,-9050.715171
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/1011 - Accrual (C) - Annual report related consultancy,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/2003 - Accrual (C)  CSR HIWPT,SAR,-841599.7636
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/3001 - Accrual (C) -  Services Charges,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Service suppliers,22223/3008 - Accrued Software license fee,SAR,-734755.7504
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/0000 - Other,SAR,-254545.038
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/1001 - Accrual (C) - Bonus,SAR,-6325864.771
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/1003 - Accrual (C) - Leave Payment,SAR,-11745697.05
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/1004 - Accrual (C) - Social Insurance,SAR,-70248894.98
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/1018 - Staff IPO Grant Liability,SAR,-33360948.69
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Advances received from customers,22251/0000 - Other,SAR,-2353344.013
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Credit Card claim suspense A/C,22295/0000 - Other,SAR,1348092.768
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Dividend payable - General,22211/0000 - Other,SAR,0.003291442
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Expense clearing account,22294/0000 - Other,SAR,0.184021544
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Flexi benefit accrual,22234/0000 - Other,SAR,-2553221.907
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Flexi benefit payments,22235/0000 - Other,SAR,9183431.006
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Other taxes payable,22242/1002 - WHT Clearing Account,SAR,49005.32316
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Other taxes payable,22242/2001 - WHT payable,SAR,-125225.6867
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Payroll clearing account,22291/0000 - Other,SAR,-52511419.66
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Provision – Others,22244/0000 - Other,SAR,-15527954.87
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Provision – Others,22244/1001 - CSR Provision - Non sharia compliant interest,SAR,-166298.1005
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,AP Clearing account,22192/0000 - Other,SAR,3422.539497
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Employees,22102/0000 - Other,SAR,-616.0954518
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Related parties - External,22112/0000 - Other,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,AP Control account - Trade,22101/0000 - Other,SAR,-6177294.731
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,1013.982136
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account & Prepaid (NC) ,Non current assets,AR Control account (NC) - Shareholder Loan - ,11611/1002 - LNTP,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account & Prepaid (NC) ,Non current assets,Prepaid expenses (NC) - Others,11652/1002 - Prepaid (NC) - Rental,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account & Prepaid (NC) ,Non current assets,Prepaid expenses (NC) - Others,11652/1006 - Prepaid (NC) - License Fee,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0000 - Chairman-Mohammed Abu Nayyan,SAR,-2032185.339
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0006 - Shariq Mubin Ur Rahman Rahman,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0007 - Abbas Noureldiem Abdullah,SAR,3013.105925
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0012 - Ahmad Waraich,SAR,-2493.608618
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0014 - Fahad Al Sallum,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0019 - Pradeep Mullapally,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0027 - Fahad Al Shammari,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0036 - Mansour Abutalib,SAR,18.49192101
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0065 - Mohamed Abdulraziq Ahmed,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0069 - Murtada Alsafi,SAR,-76.18043088
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0079 - Samir Abdulaziz Dowairij Al Dowairij,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0109 - Altaf  Mohammed,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0129 - Zeeshan Hyder Maqbool Ahmed Qureshi,SAR,0
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0139 - Zameel Kasim,SAR,7935.368043
