Month,Business_Line_name,Cost_Center,Cost_Center_Name,Project_Name,Intercompany_Name,FS_Category,Account_Grouping,Account_Name,Analytical_Code_D,Currency,SumOfCurrentMonth,SumOfBudget
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Accrued expenses - Staff related,22221/1001 - Accrual (C) - Bonus,SAR,-6325864.771,109715364.8
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Credit Card claim suspense A/C,22295/0000 - Other,SAR,1348092.768,1542392.604
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Dividend payable - General,22211/0000 - Other,SAR,0.003291442,0.02962298
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Expense clearing account,22294/0000 - Other,SAR,0.184021544,1.656193896
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Flexi benefit payments,22235/0000 - Other,SAR,9183431.006,11585854.84
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,Accrued expenses and other payables,Current liabilities,Other taxes payable,22242/1002 - WHT Clearing Account,SAR,49005.32316,53905.85548
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,AP Clearing account,22192/0000 - Other,SAR,3422.539497,3422.539497
24-Oct,Corporate & Hold Co - BL,0000,Other,Project 1,Intercompany 182,"AP Control account - Trade, Employees & IC",Current liabilities,Intercompany clearing account - Payables,22193/0000 - Other,SAR,1013.982136,9125.839228
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account & Prepaid (NC) ,Non current assets,AR Control account (NC) - Shareholder Loan - ,11611/1002 - LNTP,SAR,0,22161.13106
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account & Prepaid (NC) ,Non current assets,Prepaid expenses (NC) - Others,11652/1002 - Prepaid (NC) - Rental,SAR,0,51909.67684
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account & Prepaid (NC) ,Non current assets,Prepaid expenses (NC) - Others,11652/1006 - Prepaid (NC) - License Fee,SAR,0,20763.51885
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0007 - Abbas Noureldiem Abdullah,SAR,3013.105925,3013.105925
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0036 - Mansour Abutalib,SAR,18.49192101,20.34111311
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0139 - Zameel Kasim,SAR,7935.368043,8728.904847
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0188 - Usman Anwar,SAR,8.837522442,8.837522442
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0269 - Adel Yehia Khalifa Mohamed,SAR,685.8168761,6172.351885
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0307 - Thamer Saud Alsharhan,SAR,2530.341113,2783.375224
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0475 - Hager Al Twegieri,SAR,30.80789946,33.88868941
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0522 - Mir Dawar Ali -Riyadh,SAR,80.45960503,80.45960503
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0581 - Faisal Turki Bin Humaid,SAR,4.451526032,4.896678636
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0762 - Abdulaziz Al Baadi,SAR,144.2055655,158.6261221
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/0778 - Mashhour Al Saadi,SAR,199.4614004,1795.152603
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1037 - Dimuth Lakmal Wickrama Arachchige,SAR,23.27019749,23.27019749
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1039 - Aitzaz Saeed,SAR,1140.475763,10264.28187
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1141 - Sarah Al Harthey,SAR,3658.056254,3658.056254
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1245 - Faisal Alghariry,SAR,283.3034111,311.6337522
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/1324 - Saeed Bosaeed,SAR,9662.477558,86962.29803
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5001 - Ahmad Ettwadi,SAR,2162.91921,19466.27289
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5271 - Sami Alharbi,SAR,396.2118492,435.8330341
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5346 - Rashed Alsadran,SAR,1181.777379,10635.99641
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5355 - Amal Alamri,SAR,9666.539497,10633.19345
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5358 - Suhaib Alghamdi,SAR,1817.82316,1817.82316
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5373 - Thomas Boehringer,SAR,64326.05476,578934.4928
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5386 - Dibu Maimbilly Krishnan,SAR,193.1777379,212.4955117
24-Oct,Corporate & Hold Co - BL,0000,None,Project 1,Intercompany 182,AR Control account Current,Current assets,AR Control account (C) - Cost  Recoverable-Employees,12204/5456 - Fahad Karali,SAR,80.78994614,80.78994614
