Account Grouping,Analytical Code Name,Region,Plant,Actual,PM,Variance,Variance%,PY,Variance,Variance%
Hedge reserves,None,1,1,-23058567.21,-23058567.21,0,0.00%,9405070.17,-32463637,-345.20%
Hedge reserves,None,1,22,6549518.25,6549518.25,0,0.00%,8625041.29,-2075523,-24.10%
Hedge reserves,None,1,37,0.16,0.16,0,0.00%,0.08,0,100.00%
Hedge reserves,None,1,38,-44247565.53,-44247565.53,0,0.00%,-30886948.23,-13360617,-43.30%
Shareholders funds,Al Mutlaq Group Company,1,1,-125611639.7,-125611639.7,0,0.00%,-62805819.87,-62805820,-100.00%
Shareholders funds,Al Toukhi Commercial Group Co,1,1,-9320760.02,-9320760.02,0,0.00%,-4660380.01,-4660380,-100.00%
Shareholders funds,Arabian Co for Water & Power Development,1,1,-995333237.6,-995333237.6,0,0.00%,-497666618.8,-497666619,-100.00%
Shareholders funds,Badad International Company,1,1,-17709419.51,-17709419.51,0,0.00%,-8854709.75,-8854710,-100.00%
Shareholders funds,Future Industrial Investments Co,1,1,-17709419.51,-17709419.51,0,0.00%,-8854709.75,-8854710,-100.00%
Shareholders funds,Mada Industrial and Trading Invest,1,1,-490237330.9,-490237330.9,0,0.00%,-245118665.5,-245118665,-100.00%
Shareholders funds,Mohammad Abdullah Abu Nayan,1,1,-159494027.5,-159494027.5,0,0.00%,-79747013.76,-79747014,-100.00%
Shareholders funds,None,1,1,-2884374626,-2884374626,0,0.00%,-1473120290,-1411254335,-95.80%
Shareholders funds,None,1,2,-341133042,-341133042,0,0.00%,-170566521,-170566521,-100.00%
Shareholders funds,None,1,5,-17698982.64,-17698982.64,0,0.00%,-8849491.32,-8849491,-100.00%
Shareholders funds,None,1,6,-119688.81,-119688.81,0,0.00%,-59844.4,-59844,-100.00%
Shareholders funds,None,1,7,-15384660.61,-15384660.61,0,0.00%,-7692330.31,-7692330,-100.00%
Shareholders funds,None,1,8,-60414173.15,-60414173.15,0,0.00%,-30207086.57,-30207087,-100.00%
Shareholders funds,None,1,9,-29922.2,-29922.2,0,0.00%,-14961.1,-14961,-100.00%
Shareholders funds,None,1,10,-2421386520,-2421386520,0,0.00%,-1210693260,-1210693260,-100.00%
Shareholders funds,None,1,11,-119688.81,-119688.81,0,0.00%,-59844.4,-59844,-100.00%
Shareholders funds,None,1,12,-119688.81,-119688.81,0,0.00%,-59844.4,-59844,-100.00%
Shareholders funds,None,1,13,-1280819060,-1280819060,0,0.00%,-677354950.9,-603464109,-89.10%
Shareholders funds,None,1,14,-29922.2,-29922.2,0,0.00%,-14961.1,-14961,-100.00%
Shareholders funds,None,1,15,-1117295033,-1117295033,0,0.00%,-558647516.5,-558647516,-100.00%
Shareholders funds,None,1,16,-299222.02,-299222.02,0,0.00%,-149611.01,-149611,-100.00%
Shareholders funds,None,1,17,-1196888.09,-1196888.09,0,0.00%,-598444.05,-598444,-100.00%
Shareholders funds,None,1,18,-623034111.3,-623034111.3,0,0.00%,-311517055.7,-311517056,-100.00%
Shareholders funds,None,1,19,-897666.07,-897666.07,0,0.00%,-448833.03,-448833,-100.00%
Shareholders funds,None,1,20,-299222.02,-299222.02,0,0.00%,-149611.01,-149611,-100.00%
Shareholders funds,None,1,21,-119688.8,-119688.8,0,0.00%,-59844.4,-59844,-100.00%
Shareholders funds,None,1,22,-59844.4,-59844.4,0,0.00%,-29922.2,-29922,-100.00%
Shareholders funds,None,1,23,-119688.81,-119688.81,0,0.00%,-59844.4,-59844,-100.00%
Shareholders funds,None,1,24,-13314470.46,-13314470.46,0,0.00%,-6657235.23,-6657235,-100.00%
Shareholders funds,None,1,25,-573541293.3,-573541293.3,0,0.00%,-262513056.6,-311028237,-118.50%
Shareholders funds,None,1,26,-1125074.81,-1125074.81,0,0.00%,-562537.4,-562537,-100.00%
Shareholders funds,None,1,27,-406941.95,-406941.95,0,0.00%,-203470.98,-203471,-100.00%
Shareholders funds,None,1,28,-562718133.4,-562718133.4,0,0.00%,-238088570,-324629563,-136.30%
Shareholders funds,None,1,29,-60771992.82,-60771992.82,0,0.00%,-30385996.41,-30385996,-100.00%
Shareholders funds,None,1,31,-29922.2,-29922.2,0,0.00%,-14961.1,-14961,-100.00%
Shareholders funds,None,1,32,-4054.5,-4054.5,0,0.00%,-2027.25,-2027,-100.00%
Shareholders funds,None,1,33,-15273723.94,-15273723.94,0,0.00%,-7636861.97,-7636862,-100.00%
Shareholders funds,None,1,34,-29922.2,-29922.2,0,0.00%,-14961.1,-14961,-100.00%
Shareholders funds,None,1,35,-1718608.62,-1718608.62,0,0.00%,-14961.1,-1703648,-11387.20%
Shareholders funds,None,1,36,-299222.02,-299222.02,0,0.00%,-149611.01,-149611,-100.00%
Shareholders funds,None,1,37,-23120128.07,-23120128.07,0,0.00%,-12582286.06,-10537842,-83.80%
Shareholders funds,None,1,38,-47507100.54,-47507100.54,0,0.00%,-37118491.92,-10388609,-28.00%
Shareholders funds,None,1,39,-453751.65,-453751.65,0,0.00%,-2999700.78,2545949,84.90%
Shareholders funds,PIF - Public Investment Fund,1,1,-2718126592,-2718126592,0,0.00%,-1359063296,-1359063296,-100.00%
Shareholders funds,Share issue cost,1,1,17164768.53,17164768.53,0,0.00%,8582384.27,8582384,100.00%
System default accounts,Fixed Asset Default Account,1,1,0,0,0,,0,0,
System default accounts,Fixed Asset Default Account,1,28,0,0,0,,,0,
System default accounts,None,1,1,92.27,92.27,0,0.00%,46.14,46,100.00%
System default accounts,None,1,2,0,0,0,,0,0,-100.00%
System default accounts,None,1,8,0,0,0,,,0,
System default accounts,None,1,9,0,0,0,,,0,
System default accounts,None,1,10,0,0,0,,,0,
System default accounts,None,1,14,0,0,0,,,0,
System default accounts,None,1,15,0,0,0,,,0,
System default accounts,None,1,18,0,0,0,,,0,
System default accounts,None,1,21,0,0,0,,,0,
System default accounts,None,1,25,0,0,0,,,0,
System default accounts,None,1,26,0,0,0,,,0,
System default accounts,None,1,28,0,0,0,,0,0,
System default accounts,None,1,29,0,0,0,,,0,
System default accounts,None,1,30,0,0,0,,,0,
System default accounts,None,1,37,0,0,0,,,0,
System default accounts,None,1,38,0,0,0,,,0,
