Analytical Code Name,Region,Plant,Actual,PM,Variance,Variance%,PY,Variance,Variance%
10%_VAT_LOCAL_OUTPUT,1,25,-16830.64,-16830.64,0,0.00%,,-16831,
15%_VAT_LOCAL_OUTPT,1,1,-9293436.68,-9293436.68,0,0.00%,-1975423.19,-7318013,-370.50%
15%_VAT_LOCAL_OUTPT,1,14,-2501310.17,-2501310.17,0,0.00%,,-2501310,
15%_VAT_LOCAL_OUTPT,1,15,-257484.29,-257484.29,0,0.00%,-156978.44,-100506,-64.00%
15%_VAT_LOCAL_OUTPT,1,18,4140.48,4140.48,0,0.00%,,4140,
15%_VAT_LOCAL_OUTPT,1,19,0.01,0.01,0,0.00%,0,0,100.00%
15%_VAT_LOCAL_OUTPT,1,20,-67324.96,-67324.96,0,0.00%,,-67325,
5%_VAT_LOCAL_OUTPT,1,1,483057.18,483057.18,0,0.00%,241528.59,241529,100.00%
5%_VAT_LOCAL_OUTPT,1,2,-906772.6,-906772.6,0,0.00%,-591894.9,-314878,-53.20%
5%_VAT_LOCAL_OUTPT,1,15,-2728.24,-2728.24,0,0.00%,-1364.12,-1364,-100.00%
5%_VAT_LOCAL_OUTPT,1,20,22441.65,22441.65,0,0.00%,11220.83,11221,100.00%
5%_VAT_LOCAL_OUTPT,1,28,332505.19,332505.19,0,0.00%,107876.47,224629,208.20%
5%_VAT_LOCAL_OUTPT,1,38,-47.88,-47.88,0,0.00%,-112.21,64,57.30%
Accrual - AMEX Expesnes,1,1,-260796.97,-260796.97,0,0.00%,,-260797,
Accrual - AMEX Expesnes,1,2,-2290363.75,-2290363.75,0,0.00%,,-2290364,
Accrual - AMEX Expesnes,1,28,-18653.38,-18653.38,0,0.00%,,-18653,
Accrual - AMEX Expesnes,2,1,0,0,0,,-461260.91,461261,100.00%
Accrual - AMEX Expesnes,2,2,0,0,0,,-1561950.55,1561951,100.00%
Accrual - Nam Dhin,1,28,-1121.43,-1121.43,0,0.00%,-560.72,-561,-100.00%
Accrual - Staff Medical Insurance,1,2,0,0,0,,,0,
Accrual - Staff Medical Insurance,1,28,0,0,0,,,0,
Accrual (C) -  Services Charges,1,1,0,0,0,,,0,
Accrual (C) -  Services Charges,1,18,-42805.35,-42805.35,0,0.00%,-7134.22,-35671,-500.00%
Accrual (C) -  Services Charges,1,20,-22065.68,-22065.68,0,0.00%,-3567.3,-18498,-518.60%
Accrual (C) -  Services Charges,1,28,0.99,0.99,0,0.00%,-39528.87,39530,100.00%
Accrual (C) - Annual report related consultancy,1,1,0,0,0,,0,0,
Accrual (C) - Audit Fee,1,1,-344599.55,-344599.55,0,0.00%,-540447.23,195848,36.20%
Accrual (C) - Audit Fee,1,2,-109700.78,-109700.78,0,0.00%,-45082.29,-64618,-143.30%
Accrual (C) - Audit Fee,1,5,-30789.94,-30789.94,0,0.00%,-15944.79,-14845,-93.10%
Accrual (C) - Audit Fee,1,6,-30789.95,-30789.95,0,0.00%,-15944.79,-14845,-93.10%
Accrual (C) - Audit Fee,1,7,-27952.35,-27952.35,0,0.00%,-17946.18,-10006,-55.80%
Accrual (C) - Audit Fee,1,8,-11425.35,-11425.35,0,0.00%,-8736.51,-2689,-30.80%
Accrual (C) - Audit Fee,1,9,-20043.17,-20043.17,0,0.00%,-5316.33,-14727,-277.00%
Accrual (C) - Audit Fee,1,10,-53859.96,-53859.96,0,0.00%,-30913.38,-22947,-74.20%
Accrual (C) - Audit Fee,1,11,-30789.93,-30789.93,0,0.00%,-15944.78,-14845,-93.10%
Accrual (C) - Audit Fee,1,12,-30789.95,-30789.95,0,0.00%,-8613.85,-22176,-257.40%
Accrual (C) - Audit Fee,1,13,-30789.95,-30789.95,0,0.00%,-15944.79,-14845,-93.10%
Accrual (C) - Audit Fee,1,14,-29533.21,-29533.21,0,0.00%,-15293.99,-14239,-93.10%
Accrual (C) - Audit Fee,1,15,-185368.08,-185368.08,0,0.00%,-98906.21,-86462,-87.40%
Accrual (C) - Audit Fee,1,16,-30789.95,-30789.95,0,0.00%,-15944.8,-14845,-93.10%
Accrual (C) - Audit Fee,1,17,-30789.95,-30789.95,0,0.00%,-15944.79,-14845,-93.10%
Accrual (C) - Audit Fee,1,18,-30789.95,-30789.95,0,0.00%,-15944.79,-14845,-93.10%
Accrual (C) - Audit Fee,1,19,-43357.27,-43357.27,0,0.00%,-22452.87,-20904,-93.10%
Accrual (C) - Audit Fee,1,20,-43357.27,-43357.27,0,0.00%,-22452.87,-20904,-93.10%
Accrual (C) - Audit Fee,1,21,-30789.94,-30789.94,0,0.00%,-23815.71,-6974,-29.30%
Accrual (C) - Audit Fee,1,22,-30789.95,-30789.95,0,0.00%,-7514.22,-23276,-309.80%
Accrual (C) - Audit Fee,1,23,-30789.95,-30789.95,0,0.00%,-15944.79,-14845,-93.10%
Accrual (C) - Audit Fee,1,24,-52016.73,-52016.73,0,0.00%,-18675.18,-33342,-178.50%
Accrual (C) - Audit Fee,1,25,-3330.35,-3330.35,0,0.00%,-1724.64,-1606,-93.10%
Accrual (C) - Audit Fee,1,26,-3330.34,-3330.34,0,0.00%,-3508.75,178,5.10%
Accrual (C) - Audit Fee,1,27,-3330.34,-3330.34,0,0.00%,-3508.75,178,5.10%
Accrual (C) - Audit Fee,1,28,-37521.84,-37521.84,0,0.00%,-14086.29,-23436,-166.40%
Accrual (C) - Audit Fee,1,29,-18373.51,-18373.51,0,0.00%,-4873.31,-13500,-277.00%
Accrual (C) - Audit Fee,1,31,-18372.93,-18372.93,0,0.00%,-6086.01,-12287,-201.90%
Accrual (C) - Audit Fee,1,32,-1457.95,-1457.95,0,0.00%,-60.6,-1397,-2306.00%
Accrual (C) - Audit Fee,1,33,-15032.99,-15032.99,0,0.00%,-2874.91,-12158,-422.90%
Accrual (C) - Audit Fee,1,34,-10689.68,-10689.68,0,0.00%,-2835.38,-7854,-277.00%
Accrual (C) - Audit Fee,1,35,-6843.86,-6843.86,0,0.00%,-3377.4,-3466,-102.60%
Accrual (C) - Audit Fee,1,36,-13148.06,-13148.06,0,0.00%,-4494.8,-8653,-192.50%
Accrual (C) - Audit Fee,1,37,-15031.73,-15031.73,0,0.00%,-4752.58,-10279,-216.30%
Accrual (C) - Audit Fee,1,38,-16523.4,-16523.4,0,0.00%,-4968.02,-11555,-232.60%
Accrual (C) - Audit Fee,1,39,-5988.35,-5988.35,0,0.00%,-3101.19,-2887,-93.10%
Accrual (C) - Audit Fee,2,15,0,0,0,,,0,
Accrual (C) - Audit Fee,2,19,0,0,0,,,0,
Accrual (C) - Audit Fee,2,20,0,0,0,,,0,
Accrual (C) - Audit Fee,2,25,0,0,0,,,0,
Accrual (C) - Board Executive Committee -BEC,1,1,0,0,0,,-27802.71,27803,100.00%
Accrual (C) - Bonus,1,1,41343657.06,41343657.06,0,0.00%,19725400.06,21618257,109.60%
Accrual (C) - Bonus,1,2,39226750.91,39226750.91,0,0.00%,19403280.28,19823471,102.20%
Accrual (C) - Bonus,1,28,27076.25,27076.25,0,0.00%,,27076,
Accrual (C) - Bonus,2,1,-39129568.44,-39129568.44,0,0.00%,-18838838.74,-20290730,-107.70%
Accrual (C) - Bonus,2,2,-52398967.99,-52398967.99,0,0.00%,-31979620.44,-20419348,-63.90%
Accrual (C) - Bonus,2,28,-3881118.99,-3881118.99,0,0.00%,,-3881119,
Accrual (C) - Bonus,3,1,0,0,0,,0,0,
Accrual (C) - Bonus,4,1,-8439548.62,-8439548.62,0,0.00%,-4371006.94,-4068542,-93.10%
Accrual (C) - Bonus,5,1,-5697357.94,-5697357.94,0,0.00%,-2444311.76,-3253046,-133.10%
Accrual (C) - Bonus,5,2,-399792.36,-399792.36,0,0.00%,-305001.04,-94791,-31.10%
Accrual (C) - Bonus,6,2,0,0,0,,0,0,
Accrual (C) - Bonus,7,2,0,0,0,,0,0,
Accrual (C) - Bonus,8,2,0,0,0,,0,0,
Accrual (C) - Bonus,10,1,-7482069.28,-7482069.28,0,0.00%,-3795115.47,-3686954,-97.10%
