Analytical Code Name,Region,Plant,Actual,PM,Variance,Variance%,PY,Variance,Variance%
Actuarial Adjustment EOS,1,1,5221991.55,5221991.55,0,0.00%,-186541.75,5408533,2899.40%
Actuarial Adjustment EOS,1,2,-107590.81,-107590.81,0,0.00%,-1074046.58,966456,90.00%
Actuarial Adjustment EOS,1,28,219407.45,219407.45,0,0.00%,,219407,
Deferred finance cost - SUKUK,1,1,3423743.37,3423743.37,0,0.00%,2150982.53,1272761,59.20%
Deferred finance cost - SUKUK - 2,1,1,3177625.76,3177625.76,0,0.00%,1875432.31,1302193,69.40%
Discount on Other Payables (NC),1,1,56928600.24,56928600.24,0,0.00%,37858986.71,19069614,50.40%
ENBD,1,22,-268185952.4,-268185952.4,0,0.00%,-50652755.67,-217533197,-429.50%
FV of interest rate swaps [IRS] - ABSA Bank Limited,1,1,0,0,0,,-10198440.32,10198440,100.00%
FV of interest rate swaps [IRS] (Liability - NC),1,1,5958471.72,5958471.72,0,0.00%,1648697.26,4309774,261.40%
FV of interest rate swaps [IRS] (Liability - NC),1,22,-6549518.25,-6549518.25,0,0.00%,-8625041.29,2075523,24.10%
FV of purchased call option (Liability - NC),1,1,-1651705.57,-1651705.57,0,0.00%,-825852.78,-825853,-100.00%
LTL  (NC) -  Commercial Facility -Long term,1,1,-673250.76,-673250.76,0,0.00%,-336625.38,-336625,-100.00%
LTL  (NC) -  Commercial Facility -Long term,1,2,0,0,0,,-0.29,0,100.00%
LTL  (NC) -  Commercial Facility -Long term,1,28,-60605.63,-60605.63,0,0.00%,-30302.81,-30303,-100.00%
LTL  (NC) -  Commercial Facility -Long term,1,29,0,0,0,,-58348294.43,58348294,100.00%
LTL  (NC) -  Commercial Facility -Long term,1,34,-13104428.49,-13104428.49,0,0.00%,,-13104428,
LTL  (NC) -  Commercial Facility -Long term,1,35,-28628105.15,-28628105.15,0,0.00%,-14314052.57,-14314053,-100.00%
LTL (NC) - Islamic finance facility,1,28,-107719928.2,-107719928.2,0,0.00%,-53859964.09,-53859964,-100.00%
NATIXIS,1,22,-83620832.88,-83620832.88,0,0.00%,-39944108.19,-43676725,-109.30%
None,1,1,-628141058.4,-628141058.4,0,0.00%,-298063596.6,-330077462,-110.70%
None,1,2,-13652754.03,-13652754.03,0,0.00%,2827211.3,-16479965,-582.90%
None,1,8,-221138873.2,-221138873.2,0,0.00%,-115170239.7,-105968633,-92.00%
None,1,10,-3936646528,-3936646528,0,0.00%,-2037733097,-1898913431,-93.20%
None,1,11,-933648495.6,-933648495.6,0,0.00%,-470539089,-463109407,-98.40%
None,1,12,-686100179,-686100179,0,0.00%,-157602474.3,-528497705,-335.30%
None,1,13,-4727707.97,-4727707.97,0,0.00%,-2363853.98,-2363854,-100.00%
None,1,15,0.01,0.01,0,0.00%,-21441.67,21442,100.00%
None,1,21,-383983406.7,-383983406.7,0,0.00%,-195723328.2,-188260079,-96.20%
None,1,22,-539796258.5,-539796258.5,0,0.00%,-86807913.79,-452988345,-521.80%
