Analytical Code Name,Region,Plant,Actual,PM,Variance,Variance%,PY,Variance,Variance%
 Power SAP Success Factors Implementation - HCM system,1,28,329892.28,329892.28,0,0.00%,98967.68,230925,233.30%
Adjustment for Common Control Transactions,1,10,-387047503.9,-387047503.9,0,0.00%,-193523751.9,-193523752,-100.00%
Advances against investment,1,1,6745324181,6745324181,0,0.00%,2918758516,3826565666,131.10%
Advances against investment,1,7,7127385.6,7127385.6,0,0.00%,3563692.8,3563693,100.00%
Advances against investment,1,10,1280856916,1280856916,0,0.00%,677373878.8,603483037,89.10%
Advances against investment,1,15,320689371,320689371,0,0.00%,160344685.5,160344686,100.00%
Advances against investment,1,21,71830.64,71830.64,0,0.00%,35915.32,35915,100.00%
Advances against investment,1,22,534144493.1,534144493.1,0,0.00%,267072246.5,267072247,100.00%
Advances against investment,1,25,6853253.85,6853253.85,0,0.00%,3426626.92,3426627,100.00%
Advances against investment,1,28,301879391.3,301879391.3,0,0.00%,118100244.1,183779147,155.60%
Advances against investment,1,29,45727704.51,45727704.51,0,0.00%,12567324.96,33160380,263.90%
Advances against investment,1,32,15111544.03,15111544.03,0,0.00%,7555772.02,7555772,100.00%
Advances against investment,1,38,73964.09,73964.09,0,0.00%,31775.58,42189,132.80%
Cost of investment,1,1,972199870.2,972199870.2,0,0.00%,486114896.4,486084974,100.00%
Cost of investment,1,5,29922.2,29922.2,0,0.00%,,29922,
Cost of investment,1,6,0.12,0.12,0,0.00%,0.06,0,100.00%
Cost of investment,1,7,124381.05,124381.05,0,0.00%,62190.52,62191,100.00%
Cost of investment,1,10,2412173775,2412173775,0,0.00%,1206086888,1206086888,100.00%
Cost of investment,1,11,-50078994.73,-50078994.73,0,0.00%,59290689.95,-109369685,-184.50%
Cost of investment,1,12,259818.67,259818.67,0,0.00%,129909.34,129909,100.00%
Cost of investment,1,13,4675718.13,4675718.13,0,0.00%,2337859.07,2337859,100.00%
Cost of investment,1,15,472842447.6,472842447.6,0,0.00%,270420530.8,202421917,74.90%
Cost of investment,1,17,311517055.7,311517055.7,0,0.00%,155758527.8,155758528,100.00%
Cost of investment,1,18,623453500.9,623453500.9,0,0.00%,311726750.5,311726750,100.00%
Cost of investment,1,21,159844.4,159844.4,0,0.00%,85966.49,73878,85.90%
Cost of investment,1,22,39856.37,39856.37,0,0.00%,19928.19,19928,100.00%
Cost of investment,1,23,3739901.26,3739901.26,0,0.00%,1869950.63,1869951,100.00%
Cost of investment,1,24,1429.9,1429.9,0,0.00%,714.95,715,100.00%
Cost of investment,1,25,207793116.2,207793116.2,0,0.00%,103896558.1,103896558,100.00%
Cost of investment,1,26,102466067.5,102466067.5,0,0.00%,51233033.76,51233034,100.00%
Cost of investment,1,27,42061338.23,42061338.23,0,0.00%,21030669.11,21030669,100.00%
Cost of investment,1,28,109195303.9,109195303.9,0,0.00%,54575359.84,54619944,100.10%
Cost of investment,1,29,240219.96,240219.96,0,0.00%,119960.37,120260,100.20%
Cost of investment,1,31,5014.96,5014.96,0,0.00%,2507.48,2507,100.00%
Cost of investment,1,32,114661.23,114661.23,0,0.00%,57330.62,57331,100.00%
Cost of investment,1,33,8138.84,8138.84,0,0.00%,4069.42,4069,100.00%
Cost of investment,1,34,8976.66,8976.66,0,0.00%,4488.33,4488,100.00%
Cost of investment,1,35,130362.22,130362.22,0,0.00%,65181.11,65181,100.00%
Cost of investment,1,36,0.6,0.6,0,0.00%,0.3,0,100.00%
Cost of investment,1,37,32590.66,32590.66,0,0.00%,16295.33,16295,100.00%
Cost of investment,1,38,16422316.04,16422316.04,0,0.00%,8206520.08,8215796,100.10%
Cost of investment,1,39,7630.16,7630.16,0,0.00%,3815.08,3815,100.00%
Enterprise Data Management Cloud Service,1,28,64931.18,64931.18,0,0.00%,20936.68,43994,210.10%
Fixed Asset Default Account,1,1,53906197.67,53906197.67,0,0.00%,25631278.49,28274919,110.30%
Fixed Asset Default Account,1,2,20593372.76,20593372.76,0,0.00%,10774012.46,9819360,91.10%
Fixed Asset Default Account,1,28,2176107.88,2176107.88,0,0.00%,235008,1941100,826.00%
Fixed Asset Default Account,2,1,0,0,0,,,0,
